manufacturer_id	manufacturer_name
2239	MONTELEONE FOODS, LTD
3135	SPONGEZZ INC
12715	TIME-CAP LABS, INC.
709	CAMILLE ROSE NATURALS LLC
7289	CUPPA
11808	ABCS LLC
2319	AUGUST KITCHEN INC
4455	MAYTAG DAIRY FARMS
4753	MCARTHUR TOWELS, INC.
8448	HEAVEN HILL DISTILLERIES, INC.
6042	WORLD CHEESE CO INC
5330	ETERNAL SPRING MINERAL WATER LTD
9221	34 DEGREES - FOODS WITH LATITUDE
789	HANNA WINERY INC
7935	RAYBERN FOODS LLC
6650	THE HONICKMAN GROUP
2214	WEST COAST WINE PARTNERS LLC
3448	RUIZ FOOD PRODUCTS INC
10419	EVACO LLC
5144	CARAVINSERAIL
10629	CHATEAU LYNCH-BAGES SA
7885	HOME CITY ICE COMPANY, INC
2562	GOLD EAGLE COMPANY
4091	ROSEMONT FARMS CORPORATION
673	SUNCUPS LLC
5350	CAREX HEALTH BRANDS CORP
4735	CARING CASH LLC
10361	AURORA ORGANIC DAIRY
9025	CORAZONAS FOODS INC
712	PROSPECT PETE ENTERPRISES INC
6691	ALLIANCE SELECT FOODS INTERNATIONAL INC
404	MONTEREY FARMS, INC.
11803	BASA ENTERPRISES INC
9617	MILTON'S BAKING COMPANY LLC
5150	SUNTORY LTD.
11613	ALLA FAMIGLIA
8786	PATH OF LIFE BRAND
6261	BRICK BREWING COMPANY
1965	PASSANITA SOUPS
2289	FRENCHTOP NATURAL CARE PRODUCTS BV
9792	BOUNDARY WATERS BRANDS LLC
10984	BEMIS MANUFACTURING COMPANY
6283	COUNTRY BOY BREWING
9338	HARLAN BAKERIES INC
9842	ULTIMARK PRODUCTS LLC
10431	RETHINK BRANDS, LLC
8331	WEINGUT MAX FERD. RICHTER
860	VISTA QUEST CORPORATION
3071	ANTHONY-THOMAS CANDY CO
3432	GRIPPO FOODS INC
3885	DOMEX SUPERFRESH GROWERS
5446	ORLY INTERNATIONAL INC
7051	VINA CONCHA Y TORO S.A.
3541	SALUTE SNACKS
11290	CIRCO VINO
3642	PAPER PRODUCTS DESIGN
9722	GREAT GARLIC FOODS INC
12615	BREW BUS USA
11222	JP'S DELICACIES LLC
7069	AMIR FOODS,INC.
9406	FARMERS' MARKETING SERVICE
2694	NADDIF ENTERPRISES INC
6998	FRIEDA'S, INC.
8697	TERRAPIN BEER COMPANY
6546	APPALACHIAN BREWING COMPANY INC
13152	PACIFIC CORAL SEAFOODS CO., INC.
8294	MEYER INTERNATIONAL HOLDINGS LTD
7395	ZUKAY LIVE FOODS LLC
10595	BOUTINOT USA INC
107	SCIVATION INC
7321	CURLS LLC
458	EXPO FRESH, LLC.
7983	TALLEY VINEYARDS
8438	PERDUE FARMS INCORPORATED
4334	GRUPO LALA S.A. DE C.V.
9226	CAROL SHELTON WINES
1483	DOLFIN S.A.
10882	KITCHEN FARMS INC
10013	HARRIS FREEMAN & CO LP
12163	FLOWERS INC
4779	ALTAMAR BRANDS LLC
4591	SCARAMUZZA'S PASTA PRODUCTS
8441	INDUSTRIA DOLCIARIA QUARANTA SRL
3709	YE OLDE COLLEGE DINER
4476	KERRY GROUP
10591	TONY'S CHOCOLONELY
2919	OLDE RECIPE FOODS INC
7582	PACIFIC FOODS INC.
10352	SQUEAKY TREATS, LLC
9454	LE CREUSET OF AMERICA INC.
4700	MCJAK CANDY COMPANY LLC
8202	LAMM PRODUCTS INC
1596	NEWPORT INTERNATIONAL
1699	VETSCIENCE LLC
5242	HOME HEALTH PRODUCTS INC
1224	21ST CENTURY FORMULATIONS
12872	A CAJUN LIFE LLC
2331	HOPKINS MANUFACTURING CORP
7654	SAN-J INTERNATIONAL INC
9811	ALBROS LP
